mid. w2 +1 w1 w2 eos +2 eos mid. mid. -1	0 5	0 5
mid. -1 w3 w3 +1 eos -3 eos eos -2 eos +2 -1 mid.	0 6 3 3 3 3 4 5	0 6 3 3 3 3 4 5
mid. w3 w3 +1 w2 fin. -2 -1 w2 +1 +2 w1 +3 -3 -2 w2 w3 -1	0 8 8 8 9 10 12 15 15 15 16 16 16 16 17 16 16 16 16 17 16 16 16 16	0 8 8 8 9 10 12 15 15 15 16 16 16 16 17 16 16 16 16 17 16 16 16 16
+1 mid. w3 eos w2 w3 -2 eos +1 +2 eos +3 -1 +1 mid. mid. -1	0 1 8 9 11 14 8 9 11 14 8 9 11 14 8 9 11 14 8 9 11 14 8 9	0 1 8 9 11 14 8 9 11 14 8 9 11 14 8 9 11 14 8 9 11 14 8 9
w3 -1 +2 +1 w1 eos eos ini. w3 w2 -1	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0	0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0
mid. +3 +2 +1 eos +1 eos w1 -2 rep. w2 eos -1	0 6	0 6
+1 mid. +3 eos -1 eos -3 +2 rep. ini. +3 w1 +1 +1 -2 rep. +1 -2 -2	0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9	0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9 0 1 9
+1 mid. mid. w2 eos +2 +3 eos -2 w3 w3 -2 mid.	0 1 6 9 9 9 9 10 10 10 10 11 9 9 9 9 10 10 10 10 11 9 9 9	0 1 6 9 9 9 9 10 10 10 10 11 9 9 9 9 10 10 10 10 11 9 9 9
+2 w1 w3 +1 eos eos -3 +1 w3 w1 rep. -3 ini. w3 mid. -1	0 2 2 2 2 3 4	0 2 2 2 2 3 4
+2 mid. +3 -1 +2 w3 +1 ini. +3 fin. +1 +2 rep. eos fin. fin. +2 w3 mid.	0 2 5 5 5 5 6 7 0 2 5 5 5 5 6 7 0 2 5 5 5 5 6 7	0 2 5 5 5 5 6 7 0 2 5 5 5 5 6 7 0 2 5 5 5 5 6 7
mid. w1 mid. -1 eos w3 rep. eos w3 +3 +2 eos -3 w2 w3 +1 w3 +1 +1 -1	0 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9	0 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9 12 9
w3 w3 w1 ini. -1 eos eos w2 -2 w1 mid.	0 0 0 0 1 1 1 1 2 2 3 0 0 0 0 1 1 1 1 2 2 3 0 0	0 0 0 0 1 1 1 1 2 2 3 0 0 0 0 1 1 1 1 2 2 3 0 0
mid. +2 -1 eos rep. +1 w2 w2 +1 fin. w3 w2 +1 mid. -1 -3	0 7 7 7 8 9 15 12 13 7 7 7 8 9 15 12 13 7 7 7 8 9 15 12	0 7 7 7 8 9 15 12 13 7 7 7 8 9 15 12 13 7 7 7 8 9 15 12
w2 +1 -2 eos +2 eos -1 rep. +1 -2 ini. +3 -1 ini. -3 +3 +2 -1 -3	0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1	0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1 2 0 0 0 1
mid. +2 +3 eos +3 +2 +3 fin. ini. rep. w1 mid. -1	0 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12	0 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12 11 6 9 12
w2 +1 w1 rep. +1 +2 -3 eos ini. fin. +2 +2 -2 +3 fin. eos -1 w3 +1 -3	0 0 0 1 2 2 3 3 4 5 7	0 0 0 1 2 2 3 3 4 5 7
+2 w3 mid. +3 eos -2 -1 w2 +3 w3 -2 +1 w3 -2 mid.	0 2 7 7 7 8 11 12 12 12 12 13 11 12 12 12 12 13 11 12 12 12 12 13	0 2 7 7 7 8 11 12 12 12 12 13 11 12 12 12 12 13 11 12 12 12 12 13
w1 +2 +2 +3 fin. fin. fin. eos w3 eos w3 eos -2 -1 mid. +1 -2	0 0 1 3 6 16 14 8 8 8 8 9	0 0 1 3 6 16 14 8 8 8 8 9
w1 -1 +1 ini. -2 +1 +3 w1 w1 +3 +2 +3 w3 +2 mid. mid. -3	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1	0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1 0 0 1
mid. +3 w3 eos eos w3 eos +3 -3 -1 mid.	0 5 5 5 5 6	0 5 5 5 5 6
w3 mid. -1 w1 -2 +1 eos -3 rep. eos eos +3 w2 eos w3 mid. mid.	0 0 0 0 1 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8	0 0 0 0 1 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
mid. +2 mid. ini. eos eos -2 eos eos +1 +1 mid. mid.	0 6 4	0 6 4
+1 mid. w2 ini. -3 +1 fin. eos -1 eos fin. fin. -1 eos +1 w3 -2	0 1 8 7	0 1 8 7
mid. +2 -2 +2 -2 w2 w3 -2 +1 -3 eos +1 w1 -2 eos w1 w1 -2 mid.	0 9 6 6 6 6 7 5 5 5 6 6 6 6 7 5 5 5 6 6 6 6 7 5	0 9 6 6 6 6 7 5 5 5 6 6 6 6 7 5 5 5 6 6 6 6 7 5
w3 +3 +2 -3 fin. w1 +2 +3 -3 -1 -1 +2 ini. eos w3 -2 fin. mid. mid. mid.	0 0 0 0 1 4 19 9 8 5 5 6 8 5 5 6 8 5 5 6 8 5 5 6	0 0 0 0 1 4 19 9 8 5 5 6 8 5 5 6 8 5 5 6 8 5 5 6
mid. mid. -2 +2 w3 +2 ini. eos ini. w2 w3 -3 eos w3 +1 w2 w3 +2 -1 -3	0 9 9 9 10 10 10 10 11 8 0 9 9 9 10 10 10 10 11 8 0 9 9 9	0 9 9 9 10 10 10 10 11 8 0 9 9 9 10 10 10 10 11 8 0 9 9 9
mid. mid. mid. -3 w1 w1 w2 eos w2 w3 mid.	0 5 5 6 6 6 7	0 5 5 6 6 6 7
+2 mid. mid. fin. w1 eos +1 fin. w3 -2 mid.	0 2 5	0 2 5
mid. +3 +1 eos -1 -2 w2 eos w1 w1 -3	0 5 3	0 5 3
+1 w3 mid. eos eos eos w1 rep. eos eos mid. w3 mid.	0 1 1 1 1 2 6 6 7 7 8	0 1 1 1 1 2 6 6 7 7 8
+1 w2 -1 -3 rep. eos w2 eos +2 rep. w3 w2 mid. mid.	0 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1	0 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1 2 1 1 1
mid. w2 -1 w2 w3 -2 +1 fin. -3 rep. -3 eos eos eos w2 eos w2 w1 mid.	0 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9	0 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9
w1 +1 -1 -1 w2 w3 eos w2 eos -1 -3 +3 -2 -3 mid. +1 mid.	0 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2	0 0 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2 1 2
